Name,Count
Adams,22
Allen,325
Bartholomew,76
Benton,5
Blackford,7
Boone,73
Brown,7
Carroll,10
Cass,24
Clark,21
Clay,13
Clinton,33
Crawford,2
Daviess,21
De Kalb,6
Dearborn,4
Decatur,13
Delaware,133
Dubois,20
Elkhart,155
Fayette,12
Floyd,16
Fountain,12
Franklin,12
Fulton,18
Gibson,9
Grant,71
Greene,13
Hamilton,321
Hancock,69
Harrison,4
Hendricks,236
Henry,36
Howard,68
Huntington,15
Jackson,28
Jasper,40
Jay,5
Jefferson,26
Jennings,25
Johnson,194
Knox,16
Kosciusko,54
LaGrange,3
Lake,533
LaPorte,101
Lawrence,32
Madison,149
Marion,3342
Marshall,22
Martin,2
Miami,22
Monroe,186
Montgomery,26
Morgan,50
Newton,6
Noble,15
Ohio,0
Orange,6
Owen,15
Parke,1
Perry,2
Pike,7
Porter,145
Posey,5
Pulaski,4
Putnam,13
Randolph,16
Ripley,9
Rush,9
Scott,5
Shelby,35
Spencer,6
St. Joseph,279
Starke,17
Steuben,8
Sullivan,10
Switzerland,2
Tippecanoe,218
Tipton,10
Union,2
Vanderburgh,129
Vermillion,0
Vigo,106
Wabash,20
Warren,4
Warrick,23
Washington,7
Wayne,42
Wells,7
White,16
Whitley,12
