year,month,res
2014,January,687
2014,February,657
2014,March,732
2014,April,666
2014,May,704
2014,June,609
2014,July,599
2014,August,654
2014,September,553
2014,October,650
2014,November,535
2014,December,575
2015,January,753
2015,February,703
2015,March,670
2015,April,657
2015,May,681
2015,June,644
2015,July,621
2015,August,527
2015,September,581
2015,October,592
2015,November,504
2015,December,554
2016,January,599
2016,February,607
2016,March,687
2016,April,661
2016,May,566
2016,June,552
2016,July,549
2016,August,530
2016,September,530
2016,October,476
2016,November,502
2016,December,508
2017,January,571
2017,February,617
2017,March,741
2017,April,584
2017,May,588
2017,June,554
2017,July,513
2017,August,632
2017,September,588
2017,October,580
2017,November,615
2017,December,589
2018,January,576
2018,February,626
2018,March,746
2018,April,581
2018,May,666
2018,June,641
2018,July,494
2018,August,668
2018,September,579
2018,October,523
2018,November,588
2018,December,575
2019,January,675
2019,February,622
2019,March,646
2019,April,578
2019,May,668
2019,June,504
2019,July,561
2019,August,634
2019,September,468
2019,October,556
2019,November,596
2019,December,511
2020,January,694
2020,February,587
2020,March,648
2020,April,693
2020,May,711
2020,June,543
2020,July,657
2020,August,520
2020,September,639
2020,October,605
2020,November,497
2020,December,578
2021,January,750
2021,February,648
2021,March,732
2021,April,750
2021,May,591
2021,June,639
2021,July,689
2021,August,651
2021,September,639
2021,October,641
2021,November,580
2021,December,639
