Adams,8,Hendricks,164,Pike,5
Allen,330,Henry,33,Porter,195
Bartholomew,81,Howard,94,Posey,5
Benton,12,Huntington,13,Pulaski,7
Blackford,9,Jackson,18,Putnam,28
Boone,41,Jasper,31,Randolph,16
Brown,8,Jay,5,Ripley,12
Carroll,14,Jefferson,14,Rush,16
Cass,20,Jennings,16,St. Joseph,337
Clark,20,Johnson,181,Scott,13
Clay,14,Knox,22,Shelby,31
Clinton,23,Kosciusko,41,Spencer,5
Crawford,2,LaGrange,7,Starke,14
Daviess,15,Lake,710,Steuben,5
Dearborn,7,LaPorte,134,Sullivan,7
Decatur,17,Lawrence,39,Tippecanoe,257
DeKalb,19,Madison,136,Tipton,6
Delaware,127,Marion,"2,669",Union,2
Dubois,20,Marshall,34,Vanderburgh,126
Elkhart,157,Martin,5,Vermillion,6
Fayette,19,Miami,11,Vigo,105
Floyd,10,Monroe,248,Wabash,27
Fountain,12,Montgomery,27,Warren,2
Franklin,3,Morgan,54,Warrick,17
Fulton,16,Newton,14,Washington,6
Gibson,20,Noble,21,Wayne,52
Grant,51,Ohio,1,Wells,13
Greene,16,Orange,8,White,21
Hamilton,293,Owen,9,Whitley,16
Hancock,62,Parke,8,Unknown,40
Harrison,9,Perry,7,Total,"7,621"
