Adams,10,Hendricks,164,Pike,8
Allen,301,Henry,32,Porter,140
Bartholomew,92,Howard,96,Posey,9
Benton,6,Huntington,8,Pulaski,5
Blackford,9,Jackson,27,Putnam,23
Boone,56,Jasper,38,Randolph,9
Brown,12,Jay,12,Ripley,4
Carroll,18,Jefferson,62,Rush,5
Cass,28,Jennings,18,St. Joseph,149
Clark,47,Johnson,197,Scott,11
Clay,20,Knox,18,Shelby,26
Clinton,35,Kosciusko,30,Spencer,8
Crawford,4,LaGrange,2,Starke,12
Daviess,18,Lake,539,Steuben,3
Dearborn,2,LaPorte,97,Sullivan,10
Decatur,11,Lawrence,38,Switzerland,0
DeKalb,11,Madison,133,Tippecanoe,261
Delaware,122,Marion,"2,681",Tipton,12
Dubois,15,Marshall,41,Union,3
Elkhart,83,Martin,4,Vanderburgh,155
Fayette,11,Miami,26,Vermillion,3
Floyd,29,Monroe,237,Vigo,118
Fountain,7,Montgomery,28,Wabash,13
Franklin,6,Morgan,51,Warren,5
Fulton,9,Newton,16,Warrick,25
Gibson,18,Noble,13,Washington,14
Grant,49,Ohio,1,Wayne,37
Greene,16,Orange,14,Wells,10
Hamilton,291,Owen,9,White,30
Hancock,68,Parke,5,Whitley,10
Harrison,5,Perry,8,Total,"7,172"
