Adams,22,Hendricks,236,Pike,7
Allen,325,Henry,36,Porter,145
Bartholomew,76,Howard,68,Posey,5
Benton,5,Huntington,15,Pulaski,4
Blackford,7,Jackson,28,Putnam,13
Boone,73,Jasper,40,Randolph,16
Brown,7,Jay,5,Ripley,9
Carroll,10,Jefferson,26,Rush,9
Cass,24,Jennings,25,Scott,5
Clark,21,Johnson,194,Shelby,35
Clay,13,Knox,16,Spencer,6
Clinton,33,Kosciusko,54,St. Joseph,279
Crawford,2,LaGrange,3,Starke,17
Daviess,21,Lake,533,Steuben,8
De Kalb,6,LaPorte,101,Sullivan,10
Dearborn,4,Lawrence,32,Switzerland,2
Decatur,13,Madison,149,Tippecanoe,218
Delaware,133,Marion,"3,342",Tipton,10
Dubois,20,Marshall,22,Union,2
Elkhart,155,Martin,2,Vanderburgh,129
Fayette,12,Miami,22,Vermillion,0
Floyd,16,Monroe,186,Vigo,106
Fountain,12,Montgomery,26,Wabash,20
Franklin,12,Morgan,50,Warren,4
Fulton,18,Newton,6,Warrick,23
Gibson,9,Noble,15,Washington,7
Grant,71,Ohio,0,Wayne,42
Greene,13,Orange,6,Wells,7
Hamilton,321,Owen,15,White,16
Hancock,69,Parke,1,Whitley,12
Harrison,4,Perry,2,Total,"7,949"
